# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
JC8.15	WBGene00077462	JC8.15	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JC8.17	WBGene00219548	JC8.17	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
JC8.2	WBGene00010435	JC8.2.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JC8.2	WBGene00010435	JC8.2.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K01G5.11	WBGene00197037	K01G5.11	lincRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K01G5.12	WBGene00197604	K01G5.12	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K01G5.5	WBGene00010478	K01G5.5.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K01G5.8	WBGene00010479	K01G5.8a.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K01G5.8	WBGene00010479	K01G5.8b.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02B12.11	WBGene00197950	K02B12.11	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02B12.5	WBGene00010498	K02B12.5.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02B12.7	WBGene00010500	K02B12.7.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K02B12.t1	WBGene00014418	K02B12.t1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02B2.38	WBGene00201600	K02B2.38	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02B9.10	WBGene00219999	K02B9.10	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02C4.3	WBGene00010502	K02C4.3a.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02C4.3	WBGene00010502	K02C4.3b.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02C4.3	WBGene00010502	K02C4.3c.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02C4.3	WBGene00010502	K02C4.3d.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02C4.3	WBGene00010502	K02C4.3e.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02D10.1	WBGene00019301	K02D10.1a.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02D10.1	WBGene00019301	K02D10.1b.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
K02D10.1	WBGene00019301	K02D10.1b.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
K02D10.1	WBGene00019301	K02D10.1c.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02D10.1	WBGene00019301	K02D10.1c.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02D10.1	WBGene00019301	K02D10.1c.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02D10.2	WBGene00019302	K02D10.2.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02D10.3	WBGene00019303	K02D10.3.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02D10.4	WBGene00019304	K02D10.4.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02D10.7	WBGene00196376	K02D10.7	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02E7.1	WBGene00019306	K02E7.1.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02F2.11	WBGene00220000	K02F2.11	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02F3.12	WBGene00019334	K02F3.12a.1	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
K02F3.12	WBGene00019334	K02F3.12b.1	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
K02F3.12	WBGene00019334	K02F3.12b.2	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
K02F3.2	WBGene00019326	K02F3.2a.1	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02F3.2	WBGene00019326	K02F3.2b.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K02F6.1	WBGene00019335	K02F6.1.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K02F6.11	WBGene00220002	K02F6.11	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02F6.3	WBGene00019337	K02F6.3.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K03A1.4	WBGene00019352	K03A1.4a.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K03A1.4	WBGene00019352	K03A1.4b.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K03A11.5	WBGene00010522	K03A11.5.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K03A11.7	WBGene00200314	K03A11.7	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K03A11.8	WBGene00201392	K03A11.8	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K03A11.9	WBGene00202486	K03A11.9	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K04D7.10	WBGene00196729	K04D7.10	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K04D7.17	WBGene00220005	K04D7.17	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K04D7.6	WBGene00010559	K04D7.6.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K04D7.8	WBGene00195709	K04D7.8	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K04F10.1	WBGene00019394	K04F10.1.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K04F10.2	WBGene00019395	K04F10.2.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K04F10.7	WBGene00019399	K04F10.7.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K06A1.7	WBGene00197778	K06A1.7	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K06A5.1	WBGene00019429	K06A5.1a.1	protein_coding	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
K06A5.1	WBGene00019429	K06A5.1b.1	protein_coding	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
K06A5.1	WBGene00019429	K06A5.1c.1	protein_coding	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
K06A5.10	WBGene00201953	K06A5.10	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K06A5.2	WBGene00019430	K06A5.2.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
K06A5.3	WBGene00019431	K06A5.3.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K06H7.7	WBGene00019458	K06H7.7.1	protein_coding	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
K07A1.10	WBGene00010616	K07A1.10.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07A1.10	WBGene00010616	K07A1.10.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07A1.14	WBGene00010618	K07A1.14	pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K07A1.15	WBGene00010619	K07A1.15.1	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
K07A1.19	WBGene00199280	K07A1.19	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K07A1.t1	WBGene00014424	K07A1.t1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K07A12.1	WBGene00010620	K07A12.1.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07A12.4	WBGene00010622	K07A12.4a.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07A12.4	WBGene00010622	K07A12.4a.2	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07A12.4	WBGene00010622	K07A12.4b.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07A12.5	WBGene00010623	K07A12.5a.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K07A12.5	WBGene00010623	K07A12.5b.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K07A12.5	WBGene00010623	K07A12.5c.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K07A12.5	WBGene00010623	K07A12.5d.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K07A12.5	WBGene00010623	K07A12.5e.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K07A12.8	WBGene00086557	K07A12.8a.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07A12.8	WBGene00086557	K07A12.8b.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07A12.8	WBGene00086557	K07A12.8c.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07B1.4	WBGene00019464	K07B1.4a.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07B1.4	WBGene00019464	K07B1.4b.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07C11.10	WBGene00019482	K07C11.10.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07C11.11	WBGene00044955	K07C11.11	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C11.12	WBGene00044956	K07C11.12	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C11.8	WBGene00019480	K07C11.8.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C11.8	WBGene00019480	K07C11.8.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C5.10	WBGene00023428	K07C5.10	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C5.11	WBGene00044963	K07C5.11	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C5.12	WBGene00045134	K07C5.12	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C5.15	WBGene00200131	K07C5.15	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07C5.16	WBGene00200772	K07C5.16	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C5.17	WBGene00201787	K07C5.17	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07C5.18	WBGene00220008	K07C5.18	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07C5.6	WBGene00010629	K07C5.6.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07C5.6	WBGene00010629	K07C5.6.2	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07C5.9	WBGene00010632	K07C5.9.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07F5.12	WBGene00010637	K07F5.12.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K07F5.14	WBGene00010638	K07F5.14.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07F5.15	WBGene00010639	K07F5.15.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07F5.16	WBGene00010640	K07F5.16a.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07F5.16	WBGene00010640	K07F5.16b.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07F5.16	WBGene00010640	K07F5.16b.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07F5.22	WBGene00303023	K07F5.22.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08B12.12	WBGene00200627	K08B12.12	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08B12.7	WBGene00196751	K08B12.7	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08B4.2	WBGene00019514	K08B4.2.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08D10.10	WBGene00019533	K08D10.10.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08D10.14	WBGene00219216	K08D10.14.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K08D10.14	WBGene00219216	K08D10.14.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K08D10.9	WBGene00019532	K08D10.9	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08D12.7	WBGene00044293	K08D12.7.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08D12.8	WBGene00195004	K08D12.8.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08D9.5	WBGene00019526	K08D9.5	pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08D9.7	WBGene00195611	K08D9.7	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08D9.8	WBGene00202009	K08D9.8	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08E3.11	WBGene00045172	K08E3.11	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08E3.13	WBGene00197401	K08E3.13	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E3.5	WBGene00010665	K08E3.5a.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E3.5	WBGene00010665	K08E3.5a.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E3.5	WBGene00010665	K08E3.5a.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E3.5	WBGene00010665	K08E3.5b.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E3.5	WBGene00010665	K08E3.5c.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K08E3.5	WBGene00010665	K08E3.5d.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E3.5	WBGene00010665	K08E3.5e.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E3.5	WBGene00010665	K08E3.5f.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E4.6	WBGene00010670	K08E4.6.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E5.10	WBGene00197050	K08E5.10	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08E5.12	WBGene00198316	K08E5.12	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08E5.5	WBGene00077703	K08E5.5.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08F11.8	WBGene00220012	K08F11.8	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08F4.13	WBGene00045012	K08F4.13	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08F8.7	WBGene00010683	K08F8.7.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08F8.8	WBGene00197426	K08F8.8	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08F8.9	WBGene00197691	K08F8.9	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08H10.10	WBGene00077491	K08H10.10.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K08H10.13	WBGene00195438	K08H10.13	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09A11.1	WBGene00010704	K09A11.1.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K09A11.10	WBGene00201488	K09A11.10	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09A11.8	WBGene00198712	K09A11.8	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09A11.9	WBGene00198894	K09A11.9	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09A11.t1	WBGene00014429	K09A11.t1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09B11.4	WBGene00010711	K09B11.4.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09D9.11	WBGene00019568	K09D9.11	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09D9.12	WBGene00019569	K09D9.12	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09E3.7	WBGene00019578	K09E3.7.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09E4.1	WBGene00010719	K09E4.1.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K09E9.1	WBGene00010724	K09E9.1a.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09E9.1	WBGene00010724	K09E9.1a.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09E9.1	WBGene00010724	K09E9.1b.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09E9.1	WBGene00010724	K09E9.1b.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09E9.1	WBGene00010724	K09E9.1c.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K09E9.5	WBGene00045171	K09E9.5	snoRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K09F5.1	WBGene00019582	K09F5.1.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K09F6.3	WBGene00019586	K09F6.3.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K09G1.1	WBGene00010727	K09G1.1b.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K09G1.1	WBGene00010727	K09G1.1c.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K09G1.1	WBGene00010727	K09G1.1d.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K09G1.1	WBGene00010727	K09G1.1e.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K09H9.1	WBGene00019594	K09H9.1.1	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
K09H9.11	WBGene00220015	K09H9.11	snoRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K09H9.7	WBGene00019598	K09H9.7.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10B2.4	WBGene00019607	K10B2.4.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K10B2.t1	WBGene00023324	K10B2.t1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K10C8.5	WBGene00201774	K10C8.5	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K10C8.t1	WBGene00014437	K10C8.t1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10D2.10	WBGene00220017	K10D2.10	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K10D2.5	WBGene00019631	K10D2.5.1	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
K10D3.10	WBGene00220019	K10D3.10	snoRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K10D3.4	WBGene00010738	K10D3.4.1	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
K10D6.10	WBGene00197016	K10D6.10	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K10D6.14	WBGene00199023	K10D6.14	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10D6.15	WBGene00199076	K10D6.15	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K10D6.20	WBGene00200979	K10D6.20	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10D6.23	WBGene00201923	K10D6.23	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10D6.3	WBGene00010743	K10D6.3a.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10D6.3	WBGene00010743	K10D6.3b	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10D6.4	WBGene00010744	K10D6.4b.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K10D6.6	WBGene00195252	K10D6.6	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10G4.3	WBGene00010752	K10G4.3.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10G6.11	WBGene00220022	K10G6.11	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K10G6.4	WBGene00019641	K10G6.4.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K10G6.9	WBGene00206374	K10G6.9.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11C4.10	WBGene00200719	K11C4.10	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K11C4.14	WBGene00220023	K11C4.14	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11C4.2	WBGene00019643	K11C4.2.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11C4.6	WBGene00045084	K11C4.6	snoRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K11C4.7	WBGene00196042	K11C4.7	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11C4.8	WBGene00196871	K11C4.8	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11D2.4	WBGene00010770	K11D2.4a.1	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11D2.4	WBGene00010770	K11D2.4b.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K11D2.4	WBGene00010770	K11D2.4c.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11D2.4	WBGene00010770	K11D2.4d.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K11D2.4	WBGene00010770	K11D2.4e.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11D2.5	WBGene00010771	K11D2.5.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K11D5.2	WBGene00235318	K11D5.2	lincRNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
K11D9.5	WBGene00194856	K11D9.5		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11D9.6	WBGene00197424	K11D9.6	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K11D9.7	WBGene00199783	K11D9.7	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11H12.1	WBGene00019658	K11H12.1.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11H12.12	WBGene00044948	K11H12.12	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11H12.13	WBGene00045051	K11H12.13	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K11H12.14	WBGene00196668	K11H12.14	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
